date,open,high,low,close,volume
1719300600000,3386.87,3520.00,3355.03,3520.00,10.377
1719300900000,3520.00,3520.00,3355.03,3404.29,84.262
1719301200000,3404.29,3515.50,3355.03,3355.03,16.230
1719301500000,3355.04,3550.98,3355.03,3517.98,35.660
1719301800000,3355.03,3550.98,3355.03,3500.00,62.439
1719302100000,3500.00,3516.39,3355.03,3355.03,54.637
1719302400000,3395.39,3550.98,3355.03,3445.30,188.865
1719302700000,3456.50,3550.98,3355.03,3363.21,86.999
1719303000000,3355.04,3409.50,3355.03,3364.18,12.376
1719303300000,3363.28,3520.00,3363.28,3491.35,47.006
1719303600000,3491.35,3550.98,3363.29,3441.30,26.636
1719303900000,3485.70,3550.00,3363.30,3383.90,72.748
1719304200000,3402.70,3550.00,3363.30,3540.00,23.742
1719304500000,3540.00,3550.00,3363.30,3483.91,37.261
1719304800000,3533.32,3550.00,3363.30,3400.91,34.557
1719305100000,3373.64,3498.76,3363.30,3498.76,8.818
1719305400000,3455.60,3499.00,3363.30,3448.24,86.440
1719305700000,3393.40,3499.00,3363.30,3417.90,211.704
1719306000000,3386.06,3499.00,3363.30,3363.30,45.638
1719306300000,3364.00,3498.00,3364.00,3364.00,7.863
1719306600000,3364.00,3492.20,3364.00,3397.28,7.228
1719306900000,3397.28,3498.00,3397.21,3451.94,14.967
1719307200000,3451.94,3498.00,3451.94,3497.00,198.892
1719307500000,3479.60,3490.00,3363.30,3475.60,9.116
1719307800000,3479.50,3497.00,3364.00,3423.20,59.252
1719308100000,3396.06,3497.00,3364.00,3405.20,15.738
1719308400000,3468.50,3497.00,3364.00,3471.57,44.204
1719308700000,3471.57,3497.00,3406.70,3471.50,0.798
1719309000000,3471.50,3485.38,3397.21,3464.43,7.182
1719309300000,3431.70,3480.00,3364.00,3402.27,637.435
1719309600000,3388.60,3480.00,3375.04,3406.40,16.915
1719309900000,3429.42,3453.00,3364.00,3388.40,204.299
1719310200000,3388.40,3428.30,3384.25,3415.23,5.424
1719310500000,3428.30,3438.37,3364.00,3426.20,45.009
1719310800000,3401.42,3428.18,3381.03,3404.00,2.582
1719311100000,3428.18,3428.18,3381.03,3381.03,11.028
1719311400000,3381.03,3438.37,3381.03,3381.03,18.910
1719311700000,3381.03,3430.00,3381.03,3381.03,37.634
1719312000000,3381.03,3430.00,3381.03,3404.00,11.126
1719312300000,3420.72,3430.00,3404.00,3430.00,3.575
1719312600000,3430.00,3430.00,3404.00,3404.00,46.210
1719312900000,3430.00,3430.00,3404.00,3430.00,17.247
1719313200000,3410.25,3480.00,3364.01,3364.01,358.012
1719313500000,3442.47,3480.00,3364.01,3451.90,53.623
1719313800000,3379.40,3480.00,3364.01,3480.00,11.680
1719314100000,3455.32,3480.00,3364.01,3480.00,55.948
1719314400000,3413.70,3497.00,3364.01,3490.00,55.774
1719314700000,3490.00,3496.00,3364.01,3405.60,137.900
1719315000000,3451.90,3496.00,3364.01,3404.40,3.336
1719315300000,3411.30,3496.00,3364.01,3365.00,38.898
1719315600000,3405.80,3496.00,3364.01,3459.60,59.388
1719315900000,3459.60,3496.00,3364.01,3496.00,44.888
1719316200000,3459.60,3496.00,3459.60,3459.60,3.096
1719316500000,3459.60,3496.00,3459.60,3496.00,27.804
1719316800000,3459.60,3496.00,3459.60,3459.60,22.013
1719317100000,3459.61,3496.00,3459.60,3459.60,21.032
1719317400000,3493.98,3493.98,3389.00,3458.20,16.955
1719317700000,3399.00,3476.47,3389.00,3389.00,10.048
1719318000000,3422.90,3496.00,3389.00,3415.35,101.512
1719318300000,3496.00,3496.00,3416.38,3496.00,56.649
1719318600000,3454.25,3496.00,3389.00,3495.99,83.750
1719318900000,3461.00,3495.99,3428.20,3436.70,2.597
1719319200000,3436.70,3496.00,3389.00,3461.00,64.160
1719319500000,3461.00,3496.00,3436.53,3496.00,9.907
1719319800000,3454.30,3496.00,3389.00,3442.30,61.151
1719320100000,3433.85,3496.00,3389.00,3454.14,16.913
1719320400000,3454.14,3472.56,3389.00,3412.75,21.290
1719320700000,3399.09,3450.00,3389.10,3412.62,25.352
1719321000000,3412.62,3496.00,3401.60,3461.00,36.389
1719321300000,3447.01,3496.00,3423.42,3433.33,1.197
1719321600000,3433.33,3465.75,3400.00,3400.00,25.394
1719321900000,3418.07,3450.00,3389.00,3450.00,8.957
1719322200000,3431.74,3496.00,3416.81,3445.39,5037.789
1719322500000,3445.39,3486.88,3415.71,3486.88,20.758
1719322800000,3486.88,3486.88,3389.01,3389.01,58.538
1719323100000,3389.01,3410.31,3389.01,3410.31,0.241
1719323400000,3410.31,3486.88,3389.01,3451.48,47.026
1719323700000,3452.00,3462.12,3405.67,3405.87,3.860
1719324000000,3405.30,3445.50,3405.30,3409.97,22.284
1719324300000,3435.00,3435.00,3389.01,3435.00,69.312
1719324600000,3410.13,3435.00,3389.01,3389.01,13.884
1719324900000,3389.01,3486.88,3389.00,3447.79,69.146
1719325200000,3430.38,3447.75,3389.01,3389.01,16.061
1719325500000,3389.50,3486.88,3389.50,3435.50,9.021
1719325800000,3435.50,3486.86,3389.50,3452.00,4049.353
1719326100000,3417.47,3486.85,3400.14,3486.85,6.572
1719326400000,3410.40,3486.85,3390.85,3390.85,7.318
1719326700000,3390.85,3400.00,3390.00,3390.00,14.081
1719327000000,3400.00,3400.00,3390.00,3397.40,30.745
1719327300000,3397.40,3486.84,3389.51,3389.51,155.408
1719327600000,3410.74,3486.84,3389.51,3417.15,14.982
1719327900000,3423.90,3486.84,3417.16,3486.84,62.983
1719328200000,3479.50,3486.84,3417.16,3417.16,39.808
1719328500000,3417.16,3486.84,3390.00,3444.11,151.079
1719328800000,3444.60,3486.84,3390.00,3398.44,332.250
1719329100000,3398.44,3451.64,3398.44,3409.10,61.683
1719329400000,3398.44,3486.84,3398.44,3486.84,122.547
1719329700000,3486.84,3486.84,3398.44,3417.41,145.435
1719330000000,3417.41,3486.84,3390.00,3403.48,299.600
1719330300000,3417.17,3486.84,3404.64,3464.98,1.728
